GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "48000" ,"Texas",6,SQINC7N,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",283350760,287832928,294612688,298346392,303809300,306873476,310509076,320868008,333337632,335838948,342715548,344199572,355902640,352023708,351159172,350403772,349509224,351892368,353334672,353008096,351144668,355957700,360291332,364975348,368374264,374024652,382105136,385519312,394033376,397368808,406560168,416917204,429458476,436529792,444176912,457058776,467083248,477432984,481558532,491282596,498381796,502212548,505398648,509740848,487505000,486737816,486577164,489135976,490746400,498187952,505653940,511313356,525610392,529909808,537851096,536830000,558812464,563428852,567531896,586039616,582038912,589997520,592922364,599030052,619582540,627641980,636585600,648270980,658619208,658032648,664150700,665029912,665994948,666048464,671205400,678012408,689177696,696186452,705174144,710185508,725384681,738712297
 "48000" ,"Texas",6,SQINC7N,81,"111-112"," Farm wages and salaries","Thousands of dollars",712632,701376,703700,717864,773260,802980,818948,819456,777312,758428,757792,774644,844332,854852,861536,864600,605700,603152,598868,592436,776452,774672,781620,797656,844336,863532,875776,881076,1041760,1036124,1026600,1012748,851472,852584,869248,902220,1081252,1118516,1137456,1138080,1220552,1209092,1205664,1210232,1142600,1147740,1146244,1138312,1152396,1131316,1104076,1070672,1287580,1282908,1322976,1408008,1298044,1372864,1412232,1417096,1227980,1213424,1211580,1222036,1463240,1471680,1461552,1432856,1643144,1614560,1613988,1640844,1369160,1398948,1414404,1416020,1458100,1452592,1454748,1464344,1476577,1487372
 "48000" ,"Texas",6,SQINC7N,82,"..."," Nonfarm wages and salaries","Thousands of dollars",282638128,287131552,293908988,297628528,303036040,306070496,309690128,320048552,332560320,335080520,341957756,343424928,355058308,351168856,350297636,349539172,348903524,351289216,352735804,352415660,350368216,355183028,359509712,364177692,367529928,373161120,381229360,384638236,392991616,396332684,405533568,415904456,428607004,435677208,443307664,456156556,466001996,476314468,480421076,490144516,497161244,501003456,504192984,508530616,486362400,485590076,485430920,487997664,489594004,497056636,504549864,510242684,524322812,528626900,536528120,535421992,557514420,562055988,566119664,584622520,580810932,588784096,591710784,597808016,618119300,626170300,635124048,646838124,656976064,656418088,662536712,663389068,664625788,664649516,669790996,676596388,687719596,694733860,703719396,708721164,723908104,737224925
 "48000" ,"Texas",6,SQINC7N,90,"113-814","  Private nonfarm wages and salaries","Thousands of dollars",236963368,240681136,246946824,250537720,255134344,257798464,260480328,269246112,280849004,282392480,289020524,290077048,301565380,296713992,294429384,292523284,291045212,292307816,292690920,291615664,288606876,292823472,296515048,301664112,303905664,308689636,316322280,319467260,325824212,329328268,338278036,346541804,358586332,364056968,370343820,381771484,390667040,399818820,402916912,411110996,416865364,419391448,421448240,424377712,400909616,398883124,397613912,400596012,400185132,407690692,414923548,421531804,433465308,438440652,447248940,446595940,468261100,472483092,476224664,494481428,490140272,497745364,500455436,505800964,524902972,532374932,540291580,551122128,559327556,558385604,563496576,564295736,563420132,563229812,568184460,573424064,583750416,589690708,598108872,602273228,617733717,630420480
 "48000" ,"Texas",6,SQINC7N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",614032,619796,594816,590952,626736,646056,669340,674248,609628,586936,721476,808492,526588,563648,551228,537944,560184,564556,577624,575648,564444,572056,579664,569544,554876,581232,624068,612232,698608,631616,643200,659800,694864,649396,636776,635936,609384,651380,689704,719356,758244,714468,707220,689072,705852,714484,712216,738692,711116,775780,786552,862632,820212,790500,838304,710120,799120,800656,834920,900612,817220,869560,845964,850736,864956,907032,927620,926448,935144,912716,1011076,1002012,1012532,993700,1032836,1060976,1118484,1051192,1055824,1065612,1138182,1126886
 "48000" ,"Texas",6,SQINC7N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",10312068,10072536,9986348,10085100,10314800,10704372,9876564,10082012,11088860,10312492,11388088,11139772,12297236,11901188,11727668,11310200,11176636,11186692,11291668,11651112,10949228,11457468,11620200,12520256,12801552,12812196,13194908,13527216,15658756,14669548,16860372,16737808,17719892,18857256,18835228,19832068,19960292,21820512,22234764,23687724,25161008,26262400,26832944,25890356,23744400,21785268,22212684,22890156,23601476,23150496,23643704,25082016,27829924,27856236,29195004,29428732,31199444,31553500,32426340,34421700,32894708,35070564,34803664,35207436,36748348,38746992,40151260,39721528,37494020,35395780,33676260,32598024,31064524,28614944,27585340,27446468,28017308,27207648,28533900,27809512,30417901,32365979
 "48000" ,"Texas",6,SQINC7N,300,"22","   Utilities","Thousands of dollars",2757996,2519148,2629176,2759040,2963528,2928284,2961984,3158976,3603564,3793608,3644528,3597368,4256008,3845280,3564872,3836404,3863404,3523260,3766284,3825916,3228972,3346104,3357488,3355856,3329064,3566388,3524156,3384864,3312732,3615320,3477504,3564144,3778560,3716428,3510444,3605212,3873328,4597524,4089324,4575100,4349700,4069180,4183740,4254724,4386032,4125856,4263908,4233060,4172900,4239296,4342020,4632048,4315672,4418572,4495976,4462012,4702128,4880324,4730308,4922492,4751900,4749340,4835768,4792680,4794144,4901416,4943288,5056532,5005828,5130104,5148876,5318624,5144784,5232352,5278572,5282268,5522220,5418760,5922208,5589480,5983706,6044719
 "48000" ,"Texas",6,SQINC7N,400,"23","   Construction","Thousands of dollars",15702956,16541940,16997772,17543576,17906768,18032304,18383112,19204904,20007248,20425836,20799920,20937564,21765492,21787284,21831100,21649636,21801112,21646528,21586124,21395904,21098436,21340148,21440556,21862716,21227328,21636284,22338300,21848116,22772980,23467376,24098256,24852060,27104008,27286848,27987896,29204092,30123380,30775536,31157972,32426140,33566544,34029592,33584728,34602204,31767444,30359804,29669108,29103964,28133428,28625728,29027124,28942136,28665552,29163712,30591580,29728640,31671708,32167168,32585564,34002460,34468664,34987544,35343076,35630588,37567380,38715400,39448632,40836136,41870612,41806572,42816940,43352784,43136324,44005784,45116220,45063212,45432944,46031040,45940744,46759088,48641485,49857841
 "48000" ,"Texas",6,SQINC7N,500,"31-33","   Manufacturing","Thousands of dollars",43192408,43511932,45059948,45020664,44535952,44554852,44582312,45697536,48853480,47917108,47764020,47641932,50196556,47803440,46846964,45761152,44649668,45313172,44419852,44123828,43360668,43978128,43960980,45019732,44458216,45305244,46360728,47061080,48038932,48568028,49991860,49716568,52786664,52529136,53434836,54727324,55584524,55702560,56310512,56588152,56386968,56118200,55797212,55387116,51180468,50669488,49892560,50477820,49403108,50839336,51757060,53221212,54703184,54937276,55613008,55501476,58064972,58413888,58691940,60758896,59167284,59972012,60345816,60357352,61838424,63032940,63177500,64697184,66269096,63765172,63255692,62738468,61908580,61796728,61942640,61861840,63494696,63862956,65600344,65565216,67753981,69456478
 "48000" ,"Texas",6,SQINC7N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",27726136,27915700,29523964,29462128,29013840,28812164,28921996,29835512,32517744,31900904,31548920,31445976,33478024,31406396,30509488,29713376,28800228,29221676,28434608,28116052,27426448,28168832,28117192,28747192,28510488,29050916,29933372,30532544,31206848,31267388,32872748,32681108,35131296,35119072,35529940,37357644,37058152,37343360,37901664,37563160,37887420,37762996,37544856,37511780,34585568,33194012,32699920,33296940,32363860,33584084,33972992,35124280,36671792,36827412,37690876,37396056,39233556,39278372,40043460,41065288,40130292,40696536,40999880,40840756,42180040,43141272,43072124,44164332,44531140,42847024,42351844,41509668,41157840,40796336,40911532,40542616,42008812,42093580,43353544,43097192,44770546,46144121
