GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "13000" ,"Georgia",5,SQINC7N,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",116811788,119315608,123045904,125491716,127842964,129426512,131165356,135256696,140078976,141032932,142778296,143409400,144984836,145794244,146339460,146162632,144849900,146983576,146951184,147735864,148427816,149768216,151495016,153607540,154247456,157204624,160477000,161528648,163357908,165489288,167685596,173022540,174467560,175651940,177167684,181248632,186194204,186481292,186874964,187145736,188996640,188089972,188078980,186907888,178938852,179731948,178715784,178380784,177693160,180187056,182120732,183975964,187250464,186554972,189306548,187291824,193261260,194281636,194581616,199222392,199419468,200772808,200082676,202639460,208334568,210194456,213071044,216912544,219279980,222680684,226029528,228112864,231890636,232256620,235314112,239273900,242586348,243893548,247551176,250524988,251904860,254801256
 "13000" ,"Georgia",5,SQINC7N,81,"111-112"," Farm wages and salaries","Thousands of dollars",266076,265960,262568,257816,239008,234468,232980,234652,238080,242404,251620,263892,310552,314412,316880,318004,295152,293912,291824,288688,265212,264596,266976,272452,299408,306220,310560,312436,364252,362280,358948,354112,287560,287936,293564,304712,370176,382932,389424,389636,405692,401880,400736,402264,305816,307200,306792,304668,317284,311476,303972,294776,264616,263652,271888,289364,399716,422756,434880,436380,317556,313784,313308,316012,384264,386480,383816,376284,366060,359696,359568,365552,360964,368812,372892,373316,324112,322884,323364,325504,328223,330622
 "13000" ,"Georgia",5,SQINC7N,82,"..."," Nonfarm wages and salaries","Thousands of dollars",116545712,119049648,122783336,125233900,127603956,129192044,130932376,135022044,139840896,140790528,142526676,143145508,144674284,145479832,146022580,145844628,144554748,146689664,146659360,147447176,148162604,149503620,151228040,153335088,153948048,156898404,160166440,161216212,162993656,165127008,167326648,172668428,174180000,175364004,176874120,180943920,185824028,186098360,186485540,186756100,188590948,187688092,187678244,186505624,178633036,179424748,178408992,178076116,177375876,179875580,181816760,183681188,186985848,186291320,189034660,187002460,192861544,193858880,194146736,198786012,199101912,200459024,199769368,202323448,207950304,209807976,212687228,216536260,218913920,222320988,225669960,227747312,231529672,231887808,234941220,238900584,242262236,243570664,247227812,250199484,251576637,254470634
 "13000" ,"Georgia",5,SQINC7N,90,"113-814","  Private nonfarm wages and salaries","Thousands of dollars",97261532,99572664,103017348,105258504,107555952,109066860,110330144,114292076,118588236,119163164,120780544,121019656,122423336,122736036,122689644,121986440,120351960,121999756,121514144,121884212,122131080,123054952,124616856,126565324,127069320,129564864,132576392,133641704,134434420,136342740,138469616,143000952,144271024,145082912,146012348,149739044,154286076,154085204,154065780,153832372,154959660,153713360,153379432,151912564,143985308,144578800,143632072,143796836,142443988,144983280,147009112,149382196,152220416,151712612,154543920,152374148,158381360,159177080,159926756,164569560,165008712,166422396,166154624,168509444,173807596,175463944,178104840,181501736,183593996,186825136,189976620,192214284,195499960,195861704,198918768,202253760,205088072,206142836,209442184,212281916,213567730,216345221
 "13000" ,"Georgia",5,SQINC7N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",361772,321916,338596,344056,347180,352600,344236,349852,319916,308036,359564,453240,364388,362440,359092,444756,351404,362600,352516,337288,349848,352852,353996,363992,369256,376492,374244,383152,381152,391492,409828,416528,427812,440728,428356,433152,434000,439616,428044,431924,440644,435684,436112,429708,400740,408384,434104,437796,453324,458380,469448,466844,452332,465408,462684,458980,463040,479620,472208,498820,513392,506428,499760,498224,513768,511932,521160,550660,539876,539508,589164,578388,626264,589124,579556,580056,571232,577028,582896,576916,586410,607319
 "13000" ,"Georgia",5,SQINC7N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",369352,359424,362020,364828,363888,374584,375840,365244,400176,370872,370680,363116,356616,378656,367640,361964,351324,355740,351712,352252,353128,356336,360616,375112,367428,373480,381528,366520,385236,372280,377636,373688,392212,395024,391396,382024,450404,405272,396296,388076,336784,340908,311968,299444,270560,268560,267996,266868,255860,281168,290328,269700,285056,286396,267324,264216,268360,273660,275264,290000,292736,285096,288160,291332,309624,302344,303348,311920,309212,316104,325300,327216,338684,352340,357000,370052,377632,361028,370904,364176,374550,386917
 "13000" ,"Georgia",5,SQINC7N,300,"22","   Utilities","Thousands of dollars",1043220,1029604,1053324,1077360,1108952,1076988,1120972,1161388,1149800,1254436,1173964,1289992,1227708,1374824,1383564,1429168,1363432,1439392,1409980,1447908,1464564,1412792,1425680,1445084,1406488,1438448,1390284,1464908,1457156,1464196,1521880,1489412,1536988,1511564,1513208,1527608,1556188,1527404,1627340,1558492,1580124,1579400,1688532,1631896,1723812,1746112,1536244,1657960,1360996,1432980,1578304,1690320,1690248,1663704,1711012,1694024,1639132,1701560,1702192,1698308,1692400,1747856,1677552,1674708,1616492,1733816,1684668,1846532,1883320,1869644,1828892,1883680,1885652,1933576,2149388,1993508,1929420,1928744,1985148,2048252,2101585,2133514
 "13000" ,"Georgia",5,SQINC7N,400,"23","   Construction","Thousands of dollars",5566232,5814224,6116160,6389068,6615640,6729876,6925452,7185264,7413812,7414464,7413236,7532252,7726516,7760640,7685632,7657348,7529540,7535020,7410196,7358476,7499824,7575512,7741204,7912700,7869584,8119396,8335380,8351252,8424184,8594504,9026996,9136796,9400364,9554484,9568888,9961872,10285244,10190676,9894448,10095616,10002304,9800680,9430624,9206488,8524924,8054676,7630812,7382356,7341372,7166884,7218256,7026556,7086416,7195256,7162976,6825524,7201140,6990456,7031060,7159100,7227836,7396064,7556512,7697144,7916060,8228680,8477420,8649796,8963256,9095584,9239888,9418204,9695348,10132260,10480548,10846864,10940920,10932992,11141900,11353052,12060631,12453352
 "13000" ,"Georgia",5,SQINC7N,500,"31-33","   Manufacturing","Thousands of dollars",17633244,18109432,18470368,18837676,18644432,18599316,19049476,19142468,20345036,19487612,19588708,19032768,19987228,19805244,19186988,18896776,18784256,18833528,18607188,18466760,18274844,18199944,18346608,18975764,18594260,19060188,19762236,19606720,19322384,19544796,19764352,19823820,20770444,20138080,20259852,20576784,20335184,20363296,20315048,20255244,20358932,19916228,19597820,19016496,17582856,17591088,17434804,17800268,17347340,17662672,17985580,18834544,18766160,18725892,19687084,18410916,19363308,19566524,19450464,19630600,19980584,20144600,19809076,20242848,20400772,20667616,21145696,21788068,21251536,21783536,22051592,22435180,22575348,22524936,22850232,23060468,23361772,23511412,24249064,24258712,25128125,25392135
 "13000" ,"Georgia",5,SQINC7N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",8143388,8347300,8331248,8717948,8619212,8599212,9001584,9191408,9241236,9185140,9427736,8980532,9738060,9676788,9177092,9026080,8928036,8950584,8823660,8695788,8529692,8552636,8666104,8942324,8833608,8995676,9311308,9375292,9361740,9529984,9600960,9637944,10346232,9949616,10035600,10392200,9968964,9917768,9940572,9819176,9918720,9718976,9588040,9258272,8593716,8409984,8219676,8385988,8176040,8491808,8597568,8914004,9001728,9120452,9766820,9099564,9377804,9500928,9610276,9760964,10042340,9992616,9976184,10192148,10268260,10502804,10851252,10914564,11016448,11151940,11121084,11224692,11247748,11403932,11591744,11728952,11867664,11863408,12180292,12223020,12791133,12977481
